title,project_id,created_by,created_on,updated_by,updated_on,custom_steps_separated_content,custom_steps_separated_expected,case_ids
1.2.14) 스마일 배송Corner 홈 - 서브섹션,113,76,1703138586,76,1703150934,"- 스마일배송 > 상단 영역 확인        
- 스마일배송 > 상단으로 이동 버튼 노출 및 기능                                        
- 스마일배송 > 기획전 영역 노출 확인                         
- 스마일배송 > 기획전 영역 스와이프 확인 (좌,우)                                        
- 스마일배송 > 뒤로가기 버튼 노출 확인                        
- 스마일배송 > 검색 버튼 노출 확인                        
- 스마일배송 > 장바구니 버튼 노출 확인                        
- 스마일배송 > 최고로 잘 나가는 스마일 배송 Best 영역 상단 문구 노출 확인                        
- 스마일배송 > 최고로 잘 나가는 스마일 배송 Best 영역 상품 노출 확인                        
- 스마일배송 > 오늘 주문, 내일 도착 영역 문구 노출 확인                        
- 스마일배송 > 오늘 주문, 내일 도착 영역 배너 문구 노출 확인                        
- 스마일배송 > 무료배송 배너 문구 노출 확인                        
- 스마일배송 > 스마일클럽 배너 문구 노출 확인                        
- 스마일배송 > 이달의브랜드 배너 문구 노출 확인                        
- 스마일배송 > 신상마켓 영역 문구 노출 확인                        
- 스마일배송 > 신상마켓 영역 상품 노출 확인                        
- 스마일배송 > 창고대방출 영역 문구 노출 확인                        
- 스마일배송 > 창고대방출 영역 상품 노출 확인                        
- 스마일배송 > 무료배송 기획전 영역 문구 노출 확인                        
- 스마일배송 > 무료배송 기획전 영역 상품 노출 확인                        
- 스마일배송 > 이달의브랜드 할인 문구 노출 확인                        
- 스마일배송 > 이달의브랜드 할인 영역 쿠폰 노출 확인                        
- 스마일배송 > 슈퍼딜 영역 노출 확인                        
- 스마일배송 > LP 영역 노출 확인                        
- 스마일배송 > LP 영역 상단으로 이동 버튼 미노출 확인                        
- 스마일배송 > LP영역 상단으로 이동 버튼 노출 확인                        
- 스마일배송 > LP영역 뒤로가기 버튼 노출 확인                        
- 스마일배송 > LP영역 검색 버튼 노출 확인                        
- 스마일배송 > LP영역 장바구니 버튼 노출 확인                        
- 스마일배송 > LP영역 카테고리 우측 스와이프 동작 확인                        
- 스마일배송 > LP영역 카테고리 좌측 스와이프 동작 확인                        
- 스마일배송 > LP영역 카테고리 분류 노출 확인                        
- 스마일배송 > LP영역 카테고리 소분류 확인                        
- 스마일배송 > LP영역 카테고리 소분류 확인                        
- 스마일배송 > LP영역 카테고리 소분류 확인                        
- 스마일배송 > LP영역 기획전 넛징 노출 확인                        
- 스마일배송 > LP 영역 클럽 넛징 노출 확인                        
- 스마일배송 > LP영역 푸터 노출 확인                        
- 스마일배송 > LP영역 푸터 문구 확인                        
- 스마일배송 > 푸터 노출 확인                        
- 스마일배송 > 푸터 문구 확인                        
- 스마일배송 > SRP 영역 검색창 노출 확인                        
- 스마일배송 > SRP 영역 상단으로 이동 버튼 미노출 확인                        
- 스마일배송 > SRP영역 상단으로 이동 버튼 노출 확인                        
- 스마일배송 > SRP 영역 뒤로가기 버튼 노출 확인                        
- 스마일배송 > SRP 영역 검색 버튼 노출 확인                        
- 스마일배송 > SRP 영역 장바구니 버튼 노출 확인                        
- 스마일배송 > SRP 영역 상품 노출 확인                        
- 스마일배송 > SRP 영역 무료배송란 미체크 확인                        
- 스마일배송 > SRP 영역 클럽 넛징 노출 확인                        
- 스마일배송 > SRP 영역 배너 노출 확인                                                
- 스마일배송 > SRP 영역 푸터 노출 확인                        
-  위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""스마일 배송 Corner 홈""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
1.2.4) 배달 Corner 홈,113,76,1703138586,76,1703150934,"- 주소 검색하기                        
- 현재 위치로 배달                        
- 담긴 상품이 없을 때 주문표 선택                        
- 담긴 상품이 있을 때 주문표 선택                        
- 위치정보                        
- 배달 홈 기본기능                        
- 배달 홈                        
- 주문표 (상품O)                        
- 주문표(상품X)                        
- 카테고리                        
- 상품 주문하기                        
- 매장 검색
- 위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""배달 Corner 홈""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
1.2.5) 당일 배송 Corner 홈,113,76,1703138586,76,1703150934,"- 당일배송                        
- 당일배송 코너                        
- 당일배송 (배송지)                        
- 당일배송 (배송시간표)                        
- 당일배송 (배송 슬랏)                        
- 당일배송관(업체별) UI                        
- 당일배송 코너 (슬로건 배너)                        
- 당일배송 > 띠 배너                        
- 당일배송 > 띠 배너 (2)                        
- 당일배송 (카테고리)                        
- 당일배송 (고정혜택)                        
- 당일배송 (행사코드)                         
- 당일배송 (금주의 잇템)                        
- 당일배송 (자주구매)                        
- 당일배송 (TOP 배너)                        
- 당일배송 > 장바구니 담기                        
- 당일배송 > 구매하기                        
- 당일배송 > 업체 확인                        
- 당일배송 > 당일배송 상품안내 배너                        
- 마트
- 위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""당일 배송 Corner 홈""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
1.2.6) 슈퍼딜 Corner 홈,113,76,1703138586,76,1703150934,"- 홈 > 슈퍼딜 > 슈퍼딜 코너 홈 랜딩 확인                        
- 홈 > 슈퍼딜 > 서브페이지 > 스크롤 동작                        
- 홈 > 슈퍼딜 > 서브페이지 > 리프레시                        
- 홈 > 슈퍼딜 > 서브페이지 > TOP                        
- 홈 > 슈퍼딜 > 서브페이지 > 헤더
- 위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""슈퍼딜 Corner 홈""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
1.2.7) e쿠폰 Corner 홈,113,76,1703138586,76,1703150934,"- e쿠폰 > 기본기능                        
- e쿠폰 > 카테고리                                                
- e쿠폰 > 비로그인                        
- e쿠폰 > 개수별 노출                        
- e쿠폰 > 저장                        
- e쿠폰 > 저장 (권한이 없는 경우)
- 위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""e쿠폰 Corner 홈""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
1.2.8) Minishop 홈,113,76,1703138586,76,1703150934,"- 미니샵 > 일반/백화점 랜딩                        
- 미니샵 > 일반/백화점 > Best Item                        
- 미니샵 Best Item VIP
- 위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""Minishop Corner 홈""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
1.2.9) Footer,113,76,1703138586,76,1703150934,"- 홈 > ""FOOTER"" 영역 노출 확인                        
- 홈 > ""FOOTER"" > 로그인 선택 시 동작 확인                        
- 홈 > ""FOOTER"" > 로그아웃 선택 시 동작 확인                        
- 홈 > ""FOOTER"" > 고객센터 선택 시 동작 확인                        
- 홈 > ""FOOTER"" > 앱설정 선택 시 동작 확인                        
- 홈 > ""FOOTER"" > 주식회사 지마켓 ∨ 선택 시 동작 확인                        
- 홈 > ""FOOTER"" > 이용약관 선택 시 동작 확인                        
- 홈 > ""FOOTER"" > 개인정보 처리방침 선택 시 동작 확인                        
- 홈 > ""FOOTER"" > 사업자정보 확인 선택 시 동작 확인
- 위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""footoer""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
2.1.1) 회원 로그인 실패 - Home,113,76,1703138586,76,1703150934,2.1.1) 회원 로그인 실패 - Home,로그인 실패 오류 얼럿 확인,
2.1.2) 회원 로그인 실패 - MyG,113,76,1703138586,76,1703150934,2.1.2) 회원 로그인 실패 - MyG,로그인 실패 오류 얼럿 확인,
2.1.3) 회원 로그인 실패 - VIP > 구매하기,113,76,1703138586,76,1703150934,2.1.3) 회원 로그인 실패 - VIP > 구매하기,로그인 실패 오류 얼럿 확인,
2.1.4) 회원 로그인 실패 - e쿠폰 > PP사 > 선물하기,113,76,1703138586,76,1703150934,2.1.4) 회원 로그인 실패 - e쿠폰 > PP사 > 선물하기,로그인 실패 오류 얼럿 확인,
